SiO2,MgO,Na2O,Al2O3,CaO,Density
96.0,0.0,4.0,0.0,0.0,2230.0
94.0,0.0,6.0,0.0,0.0,2250.0
92.0,0.0,8.0,0.0,0.0,2270.0
90.0,0.0,10.0,0.0,0.0,2289.0
88.0,0.0,12.0,0.0,0.0,2308.0
86.0,0.0,14.0,0.0,0.0,2328.0
84.0,0.0,16.0,0.0,0.0,2347.0
82.0,0.0,18.0,0.0,0.0,2365.0
80.0,0.0,20.0,0.0,0.0,2383.0
78.0,0.0,22.0,0.0,0.0,2400.0
76.0,0.0,24.0,0.0,0.0,2418.0
74.0,0.0,26.0,0.0,0.0,2435.0
72.0,0.0,28.0,0.0,0.0,2451.0
70.0,0.0,30.0,0.0,0.0,2466.0
68.0,0.0,32.0,0.0,0.0,2481.0
66.0,0.0,34.0,0.0,0.0,2496.0
64.0,0.0,36.0,0.0,0.0,2509.0
62.0,0.0,38.0,0.0,0.0,2521.0
60.0,0.0,40.0,0.0,0.0,2532.0
58.0,0.0,42.0,0.0,0.0,2541.0
56.0,0.0,44.0,0.0,0.0,2550.0
54.0,0.0,46.0,0.0,0.0,2555.0
52.0,0.0,48.0,0.0,0.0,2558.0
50.0,0.0,50.0,0.0,0.0,2560.0
60.0,0.0,0.0,0.0,40.0,2765.0
58.0,0.0,0.0,0.0,42.0,2798.0
56.0,0.0,0.0,0.0,44.0,2828.0
54.0,0.0,0.0,0.0,46.0,2855.0
52.0,0.0,0.0,0.0,48.0,2880.0
50.0,0.0,0.0,0.0,50.0,2901.0
48.0,0.0,0.0,0.0,52.0,2920.0
46.0,0.0,0.0,0.0,54.0,2937.0
44.0,0.0,0.0,0.0,56.0,2950.0
42.0,0.0,0.0,0.0,58.0,2961.0
98.0,0.0,0.0,2.0,0.0,2220.0
96.0,0.0,0.0,4.0,0.0,2240.0
94.0,0.0,0.0,6.0,0.0,2260.0
92.0,0.0,0.0,8.0,0.0,2281.0
90.0,0.0,0.0,10.0,0.0,2301.0
88.0,0.0,0.0,12.0,0.0,2321.0
86.0,0.0,0.0,14.0,0.0,2342.0
84.0,0.0,0.0,16.0,0.0,2362.0
82.0,0.0,0.0,18.0,0.0,2382.0
80.0,0.0,0.0,20.0,0.0,2403.0
78.0,0.0,0.0,22.0,0.0,2423.0
76.0,0.0,0.0,24.0,0.0,2443.0
50.0,50.0,0.0,0.0,0.0,2750.0
70.0,22.9,7.1,0.0,0.0,2363.0
70.0,10.0,20.0,0.0,0.0,2385.0
75.0,14.5,10.5,0.0,0.0,2390.0
57.0,32.4,10.6,0.0,0.0,2412.0
78.0,11.0,11.0,0.0,0.0,2386.0
77.5,11.5,11.0,0.0,0.0,2389.0
76.2,12.8,11.0,0.0,0.0,2388.0
71.8,17.2,11.0,0.0,0.0,2391.0
65.5,23.5,11.0,0.0,0.0,2394.0
65.0,24.0,11.0,0.0,0.0,2414.0
61.7,27.3,11.0,0.0,0.0,2397.0
59.4,29.6,11.0,0.0,0.0,2402.0
56.7,32.3,11.0,0.0,0.0,2427.0
54.7,34.3,11.0,0.0,0.0,2439.0
65.0,23.7,11.3,0.0,0.0,2403.0
65.0,23.3,11.7,0.0,0.0,2409.0
70.0,18.2,11.8,0.0,0.0,2406.0
65.0,21.8,13.2,0.0,0.0,2425.0
70.0,15.0,15.0,0.0,0.0,2425.0
65.0,19.1,15.9,0.0,0.0,2431.0
69.2,14.8,16.0,0.0,0.0,2425.0
65.5,18.5,16.0,0.0,0.0,2432.0
65.0,19.0,16.0,0.0,0.0,2430.0
61.5,22.5,16.0,0.0,0.0,2441.0
59.6,24.4,16.0,0.0,0.0,2453.0
58.3,25.7,16.0,0.0,0.0,2464.0
57.7,26.3,16.0,0.0,0.0,2462.0
56.0,28.0,16.0,0.0,0.0,2474.0
53.5,30.5,16.0,0.0,0.0,2487.0
65.0,18.4,16.6,0.0,0.0,2436.0
57.0,25.8,17.2,0.0,0.0,2462.0
57.0,25.1,17.9,0.0,0.0,2464.0
70.0,11.2,18.8,0.0,0.0,2432.0
57.0,21.5,21.5,0.0,0.0,2470.0
65.0,13.1,21.9,0.0,0.0,2453.0
64.9,13.1,22.0,0.0,0.0,2453.0
62.7,15.3,22.0,0.0,0.0,2457.0
60.3,17.7,22.0,0.0,0.0,2463.0
58.1,19.9,22.0,0.0,0.0,2471.0
56.6,21.4,22.0,0.0,0.0,2478.0
54.6,23.4,22.0,0.0,0.0,2486.0
53.2,24.8,22.0,0.0,0.0,2491.0
57.0,20.8,22.2,0.0,0.0,2471.0
57.0,19.8,23.2,0.0,0.0,2489.0
65.0,9.2,25.8,0.0,0.0,2465.0
57.0,16.0,27.0,0.0,0.0,2505.0
90.14,0.0,3.77,0.0,6.09,2310.0
89.91,0.0,5.81,0.0,4.28,2311.0
86.2,0.0,10.57,0.0,3.22,2345.0
85.56,0.0,7.89,0.0,6.54,2355.0
83.0,0.0,8.9,0.0,8.1,2389.0
81.29,0.0,6.31,0.0,12.4,2421.0
78.14,0.0,16.49,0.0,5.37,2432.0
77.73,0.0,11.59,0.0,10.68,2455.0
76.97,0.0,14.45,0.0,8.57,2456.0
75.51,0.0,8.55,0.0,15.93,2497.0
75.82,0.0,12.41,0.0,11.77,2485.0
76.27,0.0,18.35,0.0,5.38,2455.0
75.04,0.0,5.93,0.0,19.03,2505.0
75.72,0.0,18.1,0.0,6.18,2468.0
74.32,0.0,4.28,0.0,21.4,2535.0
75.2,0.0,16.72,0.0,8.07,2475.0
75.0,0.0,16.96,0.0,8.03,2477.0
74.79,0.0,14.54,0.0,10.66,2489.0
74.65,0.0,12.93,0.0,12.42,2495.0
74.38,0.0,9.7,0.0,15.92,2506.0
74.51,0.0,14.7,0.0,10.79,2489.0
74.5,0.0,14.78,0.0,10.72,2492.0
73.44,0.0,5.14,0.0,21.42,2532.0
73.36,0.0,5.22,0.0,21.42,2536.0
73.33,0.0,5.48,0.0,21.18,2522.0
69.8,0.0,14.23,0.0,15.97,2557.0
70.39,0.0,22.6,0.0,7.0,2504.0
70.49,0.0,24.2,0.0,5.31,2499.0
69.65,0.0,15.34,0.0,15.01,2548.0
70.25,0.0,24.04,0.0,5.71,2496.0
70.15,0.0,24.88,0.0,4.96,2503.0
69.49,0.0,16.63,0.0,13.87,2540.0
69.5,0.0,25.11,0.0,5.39,2504.0
67.92,0.0,5.3,0.0,26.77,2609.0
68.58,0.0,19.88,0.0,11.53,2544.0
68.17,0.0,20.24,0.0,11.59,2543.0
67.55,0.0,13.29,0.0,19.16,2586.0
68.23,0.0,24.25,0.0,7.52,2520.0
67.73,0.0,21.41,0.0,10.86,2543.0
67.11,0.0,18.97,0.0,13.91,2561.0
66.01,0.0,3.68,0.0,30.31,2655.0
66.59,0.0,16.82,0.0,16.59,2582.0
65.62,0.0,5.69,0.0,28.68,2654.0
66.04,0.0,11.93,0.0,22.03,2613.0
66.48,0.0,22.73,0.0,10.79,2547.0
66.08,0.0,18.03,0.0,15.89,2581.0
65.77,0.0,17.15,0.0,17.08,2591.0
65.66,0.0,18.28,0.0,16.05,2584.0
65.53,0.0,18.47,0.0,15.99,2586.0
64.66,0.0,8.66,0.0,26.68,2656.0
73.81,0.0,12.36,0.0,13.83,2509.0
74.21,0.0,17.92,0.0,7.86,2484.0
74.35,0.0,20.15,0.0,5.49,2469.0
73.78,0.0,13.4,0.0,12.82,2505.0
73.69,0.0,14.53,0.0,11.77,2505.0
72.81,0.0,7.02,0.0,20.17,2541.0
73.2,0.0,12.48,0.0,14.32,2518.0
