No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, Density ( g/cm3 ), Density (Predictive Value), Density (Residual)
1, GB02-000066, Handbook of Glass Properties, 1986, v. 001  p. 0054, 96.0, , , , 4.0, 2230.0, , 
2, GB02-000067, Handbook of Glass Properties, 1986, v. 001  p. 0054, 94.0, , , , 6.0, 2250.0, , 
3, GB02-000068, Handbook of Glass Properties, 1986, v. 001  p. 0054, 92.0, , , , 8.0, 2270.0, , 
4, GB02-000069, Handbook of Glass Properties, 1986, v. 001  p. 0054, 90.0, , , , 10.0, 2289.0, , 
5, GB02-000070, Handbook of Glass Properties, 1986, v. 001  p. 0054, 88.0, , , , 12.0, 2308.0, , 
6, GB02-000071, Handbook of Glass Properties, 1986, v. 001  p. 0054, 86.0, , , , 14.0, 2328.0, , 
7, GB02-000072, Handbook of Glass Properties, 1986, v. 001  p. 0054, 84.0, , , , 16.0, 2347.0, , 
8, GB02-000073, Handbook of Glass Properties, 1986, v. 001  p. 0054, 82.0, , , , 18.0, 2365.0, , 
9, GB02-000074, Handbook of Glass Properties, 1986, v. 001  p. 0054, 80.0, , , , 20.0, 2383.0, , 
10, GB02-000075, Handbook of Glass Properties, 1986, v. 001  p. 0054, 78.0, , , , 22.0, 2400.0, , 
11, GB02-000076, Handbook of Glass Properties, 1986, v. 001  p. 0054, 76.0, , , , 24.0, 2418.0, , 
12, GB02-000077, Handbook of Glass Properties, 1986, v. 001  p. 0054, 74.0, , , , 26.0, 2435.0, , 
13, GB02-000078, Handbook of Glass Properties, 1986, v. 001  p. 0054, 72.0, , , , 28.0, 2451.0, , 
14, GB02-000079, Handbook of Glass Properties, 1986, v. 001  p. 0054, 70.0, , , , 30.0, 2466.0, , 
15, GB02-000080, Handbook of Glass Properties, 1986, v. 001  p. 0054, 68.0, , , , 32.0, 2481.0, , 
16, GB02-000081, Handbook of Glass Properties, 1986, v. 001  p. 0054, 66.0, , , , 34.0, 2496.0, , 
17, GB02-000082, Handbook of Glass Properties, 1986, v. 001  p. 0054, 64.0, , , , 36.0, 2509.0, , 
18, GB02-000083, Handbook of Glass Properties, 1986, v. 001  p. 0054, 62.0, , , , 38.0, 2521.0, , 
19, GB02-000142, Handbook of Glass Properties, 1986, v. 001  p. 0055, 60.0, , , , 40.0, 2532.0, , 
20, GB02-000143, Handbook of Glass Properties, 1986, v. 001  p. 0055, 58.0, , , , 42.0, 2541.0, , 
21, GB02-000144, Handbook of Glass Properties, 1986, v. 001  p. 0055, 56.0, , , , 44.0, 2550.0, , 
22, GB02-000145, Handbook of Glass Properties, 1986, v. 001  p. 0055, 54.0, , , , 46.0, 2555.0, , 
23, GB02-000146, Handbook of Glass Properties, 1986, v. 001  p. 0055, 52.0, , , , 48.0, 2558.0, , 
24, GB02-000147, Handbook of Glass Properties, 1986, v. 001  p. 0055, 50.0, , , , 50.0, 2560.0, , 
25, GB03-000165, Handbook of Glass Properties, 1986, v. 001  p. 0056, 60.0, , , 40.0, , 2765.0, , 
26, GB03-000166, Handbook of Glass Properties, 1986, v. 001  p. 0056, 58.0, , , 42.0, , 2798.0, , 
27, GB03-000167, Handbook of Glass Properties, 1986, v. 001  p. 0056, 56.0, , , 44.0, , 2828.0, , 
28, GB03-000168, Handbook of Glass Properties, 1986, v. 001  p. 0056, 54.0, , , 46.0, , 2855.0, , 
29, GB03-000169, Handbook of Glass Properties, 1986, v. 001  p. 0056, 52.0, , , 48.0, , 2880.0, , 
30, GB03-000170, Handbook of Glass Properties, 1986, v. 001  p. 0056, 50.0, , , 50.0, , 2901.0, , 
31, GB03-000171, Handbook of Glass Properties, 1986, v. 001  p. 0056, 48.0, , , 52.0, , 2920.0, , 
32, GB03-000172, Handbook of Glass Properties, 1986, v. 001  p. 0056, 46.0, , , 54.0, , 2937.0, , 
33, GB03-000173, Handbook of Glass Properties, 1986, v. 001  p. 0056, 44.0, , , 56.0, , 2950.0, , 
34, GB03-000174, Handbook of Glass Properties, 1986, v. 001  p. 0056, 42.0, , , 58.0, , 2961.0, , 
35, GB06-000250, Handbook of Glass Properties, 1986, v. 001  p. 0057, 98.0, 2.0, , , , 2220.0, , 
36, GB06-000251, Handbook of Glass Properties, 1986, v. 001  p. 0057, 96.0, 4.0, , , , 2240.0, , 
37, GB06-000252, Handbook of Glass Properties, 1986, v. 001  p. 0057, 94.0, 6.0, , , , 2260.0, , 
38, GB06-000253, Handbook of Glass Properties, 1986, v. 001  p. 0057, 92.0, 8.0, , , , 2281.0, , 
39, GB06-000254, Handbook of Glass Properties, 1986, v. 001  p. 0057, 90.0, 10.0, , , , 2301.0, , 
40, GB06-000255, Handbook of Glass Properties, 1986, v. 001  p. 0057, 88.0, 12.0, , , , 2321.0, , 
41, GB06-000256, Handbook of Glass Properties, 1986, v. 001  p. 0057, 86.0, 14.0, , , , 2342.0, , 
42, GB06-000257, Handbook of Glass Properties, 1986, v. 001  p. 0057, 84.0, 16.0, , , , 2362.0, , 
43, GB06-000258, Handbook of Glass Properties, 1986, v. 001  p. 0057, 82.0, 18.0, , , , 2382.0, , 
44, GB06-000259, Handbook of Glass Properties, 1986, v. 001  p. 0057, 80.0, 20.0, , , , 2403.0, , 
45, GB06-000260, Handbook of Glass Properties, 1986, v. 001  p. 0057, 78.0, 22.0, , , , 2423.0, , 
46, GB06-000261, Handbook of Glass Properties, 1986, v. 001  p. 0057, 76.0, 24.0, , , , 2443.0, , 
47, GB03-000314, Handbook of Glass Properties, 1986, v. 001  p. 0058, 50.0, , 50.0, , , 2750.0, , 
48, GB02-000533, Handbook of Glass Properties, 1986, v. 001  p. 0066, 70.0, , 22.9, , 7.1, 2363.0, , 
49, GB02-000534, Handbook of Glass Properties, 1986, v. 001  p. 0066, 70.0, , 10.0, , 20.0, 2385.0, , 
50, GB02-000535, Handbook of Glass Properties, 1986, v. 001  p. 0066, 75.0, , 14.5, , 10.5, 2390.0, , 
51, GB02-000536, Handbook of Glass Properties, 1986, v. 001  p. 0066, 57.0, , 32.4, , 10.6, 2412.0, , 
52, GB02-000537, Handbook of Glass Properties, 1986, v. 001  p. 0066, 78.0, , 11.0, , 11.0, 2386.0, , 
53, GB02-000538, Handbook of Glass Properties, 1986, v. 001  p. 0066, 77.5, , 11.5, , 11.0, 2389.0, , 
54, GB02-000539, Handbook of Glass Properties, 1986, v. 001  p. 0066, 76.2, , 12.8, , 11.0, 2388.0, , 
55, GB02-000540, Handbook of Glass Properties, 1986, v. 001  p. 0066, 71.8, , 17.2, , 11.0, 2391.0, , 
56, GB02-000541, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.5, , 23.5, , 11.0, 2394.0, , 
57, GB02-000542, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.0, , 24.0, , 11.0, 2414.0, , 
58, GB02-000543, Handbook of Glass Properties, 1986, v. 001  p. 0066, 61.7, , 27.3, , 11.0, 2397.0, , 
59, GB02-000544, Handbook of Glass Properties, 1986, v. 001  p. 0066, 59.4, , 29.6, , 11.0, 2402.0, , 
60, GB02-000545, Handbook of Glass Properties, 1986, v. 001  p. 0066, 56.7, , 32.3, , 11.0, 2427.0, , 
61, GB02-000546, Handbook of Glass Properties, 1986, v. 001  p. 0066, 54.7, , 34.3, , 11.0, 2439.0, , 
62, GB02-000547, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.0, , 23.7, , 11.3, 2403.0, , 
63, GB02-000548, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.0, , 23.3, , 11.7, 2409.0, , 
64, GB02-000549, Handbook of Glass Properties, 1986, v. 001  p. 0066, 70.0, , 18.2, , 11.8, 2406.0, , 
65, GB02-000550, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.0, , 21.8, , 13.2, 2425.0, , 
66, GB02-000551, Handbook of Glass Properties, 1986, v. 001  p. 0066, 70.0, , 15.0, , 15.0, 2425.0, , 
67, GB02-000552, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.0, , 19.1, , 15.9, 2431.0, , 
68, GB02-000553, Handbook of Glass Properties, 1986, v. 001  p. 0066, 69.2, , 14.8, , 16.0, 2425.0, , 
69, GB02-000554, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.5, , 18.5, , 16.0, 2432.0, , 
70, GB02-000555, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.0, , 19.0, , 16.0, 2430.0, , 
71, GB02-000556, Handbook of Glass Properties, 1986, v. 001  p. 0066, 61.5, , 22.5, , 16.0, 2441.0, , 
72, GB02-000557, Handbook of Glass Properties, 1986, v. 001  p. 0066, 59.6, , 24.4, , 16.0, 2453.0, , 
73, GB02-000558, Handbook of Glass Properties, 1986, v. 001  p. 0066, 58.3, , 25.7, , 16.0, 2464.0, , 
74, GB02-000559, Handbook of Glass Properties, 1986, v. 001  p. 0066, 57.7, , 26.3, , 16.0, 2462.0, , 
75, GB02-000560, Handbook of Glass Properties, 1986, v. 001  p. 0066, 56.0, , 28.0, , 16.0, 2474.0, , 
76, GB02-000561, Handbook of Glass Properties, 1986, v. 001  p. 0066, 53.5, , 30.5, , 16.0, 2487.0, , 
77, GB02-000562, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.0, , 18.4, , 16.6, 2436.0, , 
78, GB02-000563, Handbook of Glass Properties, 1986, v. 001  p. 0066, 57.0, , 25.8, , 17.2, 2462.0, , 
79, GB02-000564, Handbook of Glass Properties, 1986, v. 001  p. 0066, 57.0, , 25.1, , 17.9, 2464.0, , 
80, GB02-000565, Handbook of Glass Properties, 1986, v. 001  p. 0066, 70.0, , 11.2, , 18.8, 2432.0, , 
81, GB02-000566, Handbook of Glass Properties, 1986, v. 001  p. 0066, 57.0, , 21.5, , 21.5, 2470.0, , 
82, GB02-000567, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.0, , 13.1, , 21.9, 2453.0, , 
83, GB02-000568, Handbook of Glass Properties, 1986, v. 001  p. 0066, 64.9, , 13.1, , 22.0, 2453.0, , 
84, GB02-000569, Handbook of Glass Properties, 1986, v. 001  p. 0066, 62.7, , 15.3, , 22.0, 2457.0, , 
85, GB02-000570, Handbook of Glass Properties, 1986, v. 001  p. 0066, 60.3, , 17.7, , 22.0, 2463.0, , 
86, GB02-000571, Handbook of Glass Properties, 1986, v. 001  p. 0066, 58.1, , 19.9, , 22.0, 2471.0, , 
87, GB02-000572, Handbook of Glass Properties, 1986, v. 001  p. 0066, 56.6, , 21.4, , 22.0, 2478.0, , 
88, GB02-000573, Handbook of Glass Properties, 1986, v. 001  p. 0066, 54.6, , 23.4, , 22.0, 2486.0, , 
89, GB02-000574, Handbook of Glass Properties, 1986, v. 001  p. 0066, 53.2, , 24.8, , 22.0, 2491.0, , 
90, GB02-000575, Handbook of Glass Properties, 1986, v. 001  p. 0066, 57.0, , 20.8, , 22.2, 2471.0, , 
91, GB02-000576, Handbook of Glass Properties, 1986, v. 001  p. 0066, 57.0, , 19.8, , 23.2, 2489.0, , 
92, GB02-000577, Handbook of Glass Properties, 1986, v. 001  p. 0066, 65.0, , 9.2, , 25.8, 2465.0, , 
93, GB02-000578, Handbook of Glass Properties, 1986, v. 001  p. 0066, 57.0, , 16.0, , 27.0, 2505.0, , 
94, GB02-000579, Handbook of Glass Properties, 1986, v. 001  p. 0067, 90.14, , , 6.09, 3.77, 2310.0, , 
95, GB02-000580, Handbook of Glass Properties, 1986, v. 001  p. 0067, 89.91, , , 4.28, 5.81, 2311.0, , 
96, GB02-000581, Handbook of Glass Properties, 1986, v. 001  p. 0067, 86.2, , , 3.22, 10.57, 2345.0, , 
97, GB02-000582, Handbook of Glass Properties, 1986, v. 001  p. 0067, 85.56, , , 6.54, 7.89, 2355.0, , 
98, GB02-000583, Handbook of Glass Properties, 1986, v. 001  p. 0067, 83.0, , , 8.1, 8.9, 2389.0, , 
99, GB02-000584, Handbook of Glass Properties, 1986, v. 001  p. 0067, 81.29, , , 12.4, 6.31, 2421.0, , 
100, GB02-000585, Handbook of Glass Properties, 1986, v. 001  p. 0067, 78.14, , , 5.37, 16.49, 2432.0, , 
101, GB02-000586, Handbook of Glass Properties, 1986, v. 001  p. 0067, 77.73, , , 10.68, 11.59, 2455.0, , 
102, GB02-000587, Handbook of Glass Properties, 1986, v. 001  p. 0067, 76.97, , , 8.57, 14.45, 2456.0, , 
103, GB02-000588, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.51, , , 15.93, 8.55, 2497.0, , 
104, GB02-000589, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.82, , , 11.77, 12.41, 2485.0, , 
105, GB02-000590, Handbook of Glass Properties, 1986, v. 001  p. 0067, 76.27, , , 5.38, 18.35, 2455.0, , 
106, GB02-000591, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.04, , , 19.03, 5.93, 2505.0, , 
107, GB02-000592, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.72, , , 6.18, 18.1, 2468.0, , 
108, GB02-000593, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.32, , , 21.4, 4.28, 2535.0, , 
109, GB02-000594, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.2, , , 8.07, 16.72, 2475.0, , 
110, GB02-000595, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.0, , , 8.03, 16.96, 2477.0, , 
111, GB02-000596, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.79, , , 10.66, 14.54, 2489.0, , 
112, GB02-000597, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.65, , , 12.42, 12.93, 2495.0, , 
113, GB02-000598, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.38, , , 15.92, 9.7, 2506.0, , 
114, GB02-000599, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.51, , , 10.79, 14.7, 2489.0, , 
115, GB02-000600, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.5, , , 10.72, 14.78, 2492.0, , 
116, GB02-000601, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.44, , , 21.42, 5.14, 2532.0, , 
117, GB02-000602, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.36, , , 21.42, 5.22, 2536.0, , 
118, GB02-000603, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.33, , , 21.18, 5.48, 2522.0, , 
119, GB02-000604, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.8, , , 15.97, 14.23, 2557.0, , 
120, GB02-000605, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.39, , , 7.0, 22.6, 2504.0, , 
121, GB02-000606, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.49, , , 5.31, 24.2, 2499.0, , 
122, GB02-000607, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.65, , , 15.01, 15.34, 2548.0, , 
123, GB02-000608, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.25, , , 5.71, 24.04, 2496.0, , 
124, GB02-000609, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.15, , , 4.96, 24.88, 2503.0, , 
125, GB02-000610, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.49, , , 13.87, 16.63, 2540.0, , 
126, GB02-000611, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.5, , , 5.39, 25.11, 2504.0, , 
127, GB02-000612, Handbook of Glass Properties, 1986, v. 001  p. 0067, 67.92, , , 26.77, 5.3, 2609.0, , 
128, GB02-000613, Handbook of Glass Properties, 1986, v. 001  p. 0067, 68.58, , , 11.53, 19.88, 2544.0, , 
129, GB02-000614, Handbook of Glass Properties, 1986, v. 001  p. 0067, 68.17, , , 11.59, 20.24, 2543.0, , 
130, GB02-000615, Handbook of Glass Properties, 1986, v. 001  p. 0067, 67.55, , , 19.16, 13.29, 2586.0, , 
131, GB02-000616, Handbook of Glass Properties, 1986, v. 001  p. 0067, 68.23, , , 7.52, 24.25, 2520.0, , 
132, GB02-000617, Handbook of Glass Properties, 1986, v. 001  p. 0067, 67.73, , , 10.86, 21.41, 2543.0, , 
133, GB02-000618, Handbook of Glass Properties, 1986, v. 001  p. 0067, 67.11, , , 13.91, 18.97, 2561.0, , 
134, GB02-000619, Handbook of Glass Properties, 1986, v. 001  p. 0067, 66.01, , , 30.31, 3.68, 2655.0, , 
135, GB02-000620, Handbook of Glass Properties, 1986, v. 001  p. 0067, 66.59, , , 16.59, 16.82, 2582.0, , 
136, GB02-000621, Handbook of Glass Properties, 1986, v. 001  p. 0067, 65.62, , , 28.68, 5.69, 2654.0, , 
137, GB02-000622, Handbook of Glass Properties, 1986, v. 001  p. 0067, 66.04, , , 22.03, 11.93, 2613.0, , 
138, GB02-000623, Handbook of Glass Properties, 1986, v. 001  p. 0067, 66.48, , , 10.79, 22.73, 2547.0, , 
139, GB02-000624, Handbook of Glass Properties, 1986, v. 001  p. 0067, 66.08, , , 15.89, 18.03, 2581.0, , 
140, GB02-000625, Handbook of Glass Properties, 1986, v. 001  p. 0067, 65.77, , , 17.08, 17.15, 2591.0, , 
141, GB02-000626, Handbook of Glass Properties, 1986, v. 001  p. 0067, 65.66, , , 16.05, 18.28, 2584.0, , 
142, GB02-000627, Handbook of Glass Properties, 1986, v. 001  p. 0067, 65.53, , , 15.99, 18.47, 2586.0, , 
143, GB02-000628, Handbook of Glass Properties, 1986, v. 001  p. 0067, 64.66, , , 26.68, 8.66, 2656.0, , 
144, GB02-000629, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.81, , , 13.83, 12.36, 2509.0, , 
145, GB02-000630, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.21, , , 7.86, 17.92, 2484.0, , 
146, GB02-000631, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.35, , , 5.49, 20.15, 2469.0, , 
147, GB02-000632, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.78, , , 12.82, 13.4, 2505.0, , 
148, GB02-000633, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.69, , , 11.77, 14.53, 2505.0, , 
149, GB02-000634, Handbook of Glass Properties, 1986, v. 001  p. 0067, 72.81, , , 20.17, 7.02, 2541.0, , 
150, GB02-000635, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.2, , , 14.32, 12.48, 2518.0, , 
151, GB02-000636, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.18, , , 13.99, 12.82, 2519.0, , 
152, GB02-000637, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.4, , , 10.71, 15.88, 2501.0, , 
153, GB02-000638, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.82, , , 3.3, 22.88, 2461.0, , 
154, GB02-000639, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.52, , , 5.37, 21.11, 2474.0, , 
155, GB02-000640, Handbook of Glass Properties, 1986, v. 001  p. 0067, 72.8, , , 13.88, 13.32, 2519.0, , 
