SiO2,MgO,Na2O,Al2O3,CaO,Density
96.0, , 4.0, , ,2230.0
94.0, , 6.0, , ,2250.0
92.0, , 8.0, , ,2270.0
90.0, , 10.0, , ,2289.0
88.0, , 12.0, , ,2308.0
86.0, , 14.0, , ,2328.0
84.0, , 16.0, , ,2347.0
82.0, , 18.0, , ,2365.0
80.0, , 20.0, , ,2383.0
78.0, , 22.0, , ,2400.0
76.0, , 24.0, , ,2418.0
74.0, , 26.0, , ,2435.0
72.0, , 28.0, , ,2451.0
70.0, , 30.0, , ,2466.0
68.0, , 32.0, , ,2481.0
66.0, , 34.0, , ,2496.0
64.0, , 36.0, , ,2509.0
62.0, , 38.0, , ,2521.0
60.0, , 40.0, , ,2532.0
58.0, , 42.0, , ,2541.0
56.0, , 44.0, , ,2550.0
54.0, , 46.0, , ,2555.0
52.0, , 48.0, , ,2558.0
50.0, , 50.0, , ,2560.0
60.0, , , , 40.0,2765.0
58.0, , , , 42.0,2798.0
56.0, , , , 44.0,2828.0
54.0, , , , 46.0,2855.0
52.0, , , , 48.0,2880.0
50.0, , , , 50.0,2901.0
48.0, , , , 52.0,2920.0
46.0, , , , 54.0,2937.0
44.0, , , , 56.0,2950.0
42.0, , , , 58.0,2961.0
98.0, , , 2.0, ,2220.0
96.0, , , 4.0, ,2240.0
94.0, , , 6.0, ,2260.0
92.0, , , 8.0, ,2281.0
90.0, , , 10.0, ,2301.0
88.0, , , 12.0, ,2321.0
86.0, , , 14.0, ,2342.0
84.0, , , 16.0, ,2362.0
82.0, , , 18.0, ,2382.0
80.0, , , 20.0, ,2403.0
78.0, , , 22.0, ,2423.0
76.0, , , 24.0, ,2443.0
50.0, 50.0, , , ,2750.0
70.0, 22.9, 7.1, , ,2363.0
70.0, 10.0, 20.0, , ,2385.0
75.0, 14.5, 10.5, , ,2390.0
57.0, 32.4, 10.6, , ,2412.0
78.0, 11.0, 11.0, , ,2386.0
77.5, 11.5, 11.0, , ,2389.0
76.2, 12.8, 11.0, , ,2388.0
71.8, 17.2, 11.0, , ,2391.0
65.5, 23.5, 11.0, , ,2394.0
65.0, 24.0, 11.0, , ,2414.0
61.7, 27.3, 11.0, , ,2397.0
59.4, 29.6, 11.0, , ,2402.0
56.7, 32.3, 11.0, , ,2427.0
54.7, 34.3, 11.0, , ,2439.0
65.0, 23.7, 11.3, , ,2403.0
65.0, 23.3, 11.7, , ,2409.0
70.0, 18.2, 11.8, , ,2406.0
65.0, 21.8, 13.2, , ,2425.0
70.0, 15.0, 15.0, , ,2425.0
65.0, 19.1, 15.9, , ,2431.0
69.2, 14.8, 16.0, , ,2425.0
65.5, 18.5, 16.0, , ,2432.0
65.0, 19.0, 16.0, , ,2430.0
61.5, 22.5, 16.0, , ,2441.0
59.6, 24.4, 16.0, , ,2453.0
58.3, 25.7, 16.0, , ,2464.0
57.7, 26.3, 16.0, , ,2462.0
56.0, 28.0, 16.0, , ,2474.0
53.5, 30.5, 16.0, , ,2487.0
65.0, 18.4, 16.6, , ,2436.0
57.0, 25.8, 17.2, , ,2462.0
57.0, 25.1, 17.9, , ,2464.0
70.0, 11.2, 18.8, , ,2432.0
57.0, 21.5, 21.5, , ,2470.0
65.0, 13.1, 21.9, , ,2453.0
64.9, 13.1, 22.0, , ,2453.0
62.7, 15.3, 22.0, , ,2457.0
60.3, 17.7, 22.0, , ,2463.0
58.1, 19.9, 22.0, , ,2471.0
56.6, 21.4, 22.0, , ,2478.0
54.6, 23.4, 22.0, , ,2486.0
53.2, 24.8, 22.0, , ,2491.0
57.0, 20.8, 22.2, , ,2471.0
57.0, 19.8, 23.2, , ,2489.0
65.0, 9.2, 25.8, , ,2465.0
57.0, 16.0, 27.0, , ,2505.0
90.14, , 3.77, , 6.09,2310.0
89.91, , 5.81, , 4.28,2311.0
86.2, , 10.57, , 3.22,2345.0
85.56, , 7.89, , 6.54,2355.0
83.0, , 8.9, , 8.1,2389.0
81.29, , 6.31, , 12.4,2421.0
78.14, , 16.49, , 5.37,2432.0
77.73, , 11.59, , 10.68,2455.0
76.97, , 14.45, , 8.57,2456.0
75.51, , 8.55, , 15.93,2497.0
75.82, , 12.41, , 11.77,2485.0
76.27, , 18.35, , 5.38,2455.0
75.04, , 5.93, , 19.03,2505.0
75.72, , 18.1, , 6.18,2468.0
74.32, , 4.28, , 21.4,2535.0
75.2, , 16.72, , 8.07,2475.0
75.0, , 16.96, , 8.03,2477.0
74.79, , 14.54, , 10.66,2489.0
74.65, , 12.93, , 12.42,2495.0
74.38, , 9.7, , 15.92,2506.0
74.51, , 14.7, , 10.79,2489.0
74.5, , 14.78, , 10.72,2492.0
73.44, , 5.14, , 21.42,2532.0
73.36, , 5.22, , 21.42,2536.0
73.33, , 5.48, , 21.18,2522.0
69.8, , 14.23, , 15.97,2557.0
70.39, , 22.6, , 7.0,2504.0
70.49, , 24.2, , 5.31,2499.0
69.65, , 15.34, , 15.01,2548.0
70.25, , 24.04, , 5.71,2496.0
70.15, , 24.88, , 4.96,2503.0
69.49, , 16.63, , 13.87,2540.0
69.5, , 25.11, , 5.39,2504.0
67.92, , 5.3, , 26.77,2609.0
68.58, , 19.88, , 11.53,2544.0
68.17, , 20.24, , 11.59,2543.0
67.55, , 13.29, , 19.16,2586.0
68.23, , 24.25, , 7.52,2520.0
67.73, , 21.41, , 10.86,2543.0
67.11, , 18.97, , 13.91,2561.0
66.01, , 3.68, , 30.31,2655.0
66.59, , 16.82, , 16.59,2582.0
65.62, , 5.69, , 28.68,2654.0
66.04, , 11.93, , 22.03,2613.0
66.48, , 22.73, , 10.79,2547.0
66.08, , 18.03, , 15.89,2581.0
65.77, , 17.15, , 17.08,2591.0
65.66, , 18.28, , 16.05,2584.0
65.53, , 18.47, , 15.99,2586.0
64.66, , 8.66, , 26.68,2656.0
73.81, , 12.36, , 13.83,2509.0
74.21, , 17.92, , 7.86,2484.0
74.35, , 20.15, , 5.49,2469.0
73.78, , 13.4, , 12.82,2505.0
73.69, , 14.53, , 11.77,2505.0
72.81, , 7.02, , 20.17,2541.0
73.2, , 12.48, , 14.32,2518.0
73.18, , 12.82, , 13.99,2519.0
73.4, , 15.88, , 10.71,2501.0
73.82, , 22.88, , 3.3,2461.0
73.52, , 21.11, , 5.37,2474.0
72.8, , 13.32, , 13.88,2519.0
73.45, , 22.23, , 4.31,2470.0
73.01, , 17.34, , 9.64,2500.0
71.59, , 11.37, , 17.04,2546.0
