,SiO2,MgO,Na2O,Al2O3,CaO,Density
0,96.0,0.0,4.0,0.0,0.0,2230.0
1,98.0,0.0,0.0,2.0,0.0,2220.0
2,98.2,0.0,1.8,0.0,0.0,2230.0
3,100.0,0.0,0.0,0.005894,0.0,2200.0
4,96.0,0.0,4.0,0.0,0.0,2238.0
5,95.0,0.0,5.0,0.0,0.0,2237.0
6,99.98,0.0,0.0,0.02,0.0,2200.0
7,99.78,0.0,0.0,0.22,0.0,2198.0
8,99.55,0.0,0.0,0.45,0.0,2203.0
9,99.72,0.0,0.0,0.28,0.0,2205.0
10,98.64,0.0,0.0,1.36,0.0,2199.0
11,97.02,0.0,0.0,2.98,0.0,2212.0
12,99.25,0.0,0.0,0.75,0.0,2207.0
13,99.63,0.0,0.0,0.37,0.0,2201.0
14,99.78,0.0,0.0,0.22,0.0,2204.0
15,98.66,0.0,0.0,1.33,0.0,2208.0
16,99.94,0.0,0.0,0.05,0.0,2203.0
17,99.76,0.0,0.0,0.24,0.0,2205.0
18,99.29,0.0,0.0,0.71,0.0,2210.0
19,98.44,0.0,0.0,1.56,0.0,2203.0
20,99.8,0.0,0.0,0.2,0.0,2200.0
21,99.9,0.0,0.0,0.1,0.0,2200.0
22,95.0,0.0,5.0,0.0,0.0,2200.0
23,88.0,0.0,12.0,0.0,0.0,2308.0
24,86.0,0.0,14.0,0.0,0.0,2328.0
25,84.0,0.0,16.0,0.0,0.0,2347.0
26,86.2,0.0,10.57,0.0,3.22,2345.0
27,85.0,0.0,15.0,0.0,0.0,2338.0
28,84.0,0.0,16.0,0.0,0.0,2348.0
29,83.0,0.0,17.0,0.0,0.0,2358.0
30,85.0,0.0,15.0,0.0,0.0,2330.0
31,85.0,0.0,15.0,0.0,0.0,2336.0
32,87.0,0.0,13.0,0.0,0.0,2320.0
33,85.0,0.0,15.0,0.0,0.0,2339.0
34,85.0,0.0,15.0,0.0,0.0,2329.0
35,85.39,0.0,14.61,0.0,0.0,2340.0
36,85.43,0.0,14.57,0.0,0.0,2330.0
37,82.79,0.0,17.21,0.0,0.0,2356.0
38,86.5,0.0,13.5,0.0,0.0,2329.0
39,85.53,0.0,14.47,0.0,0.0,2334.0
40,86.49,0.0,13.51,0.0,0.0,2323.0
41,85.54,0.0,14.46,0.0,0.0,2331.0
42,83.16,0.0,16.84,0.0,0.0,2355.0
43,84.3,0.0,15.7,0.0,0.0,2345.0
44,85.7,0.0,14.3,0.0,0.0,2328.0
45,84.9,0.0,15.1,0.0,0.0,2338.0
46,81.99,0.0,18.0,0.0,0.0,2356.0
47,87.0,0.0,13.0,0.0,0.0,2314.0
48,85.0,0.0,15.0,0.0,0.0,2340.0
49,83.33,0.0,16.67,0.0,0.0,2340.0
50,86.0,0.0,14.0,0.0,0.0,2310.0
51,84.0,0.0,12.0,4.0,0.0,2338.0
52,88.24,0.0,11.76,0.0,0.0,2335.0
53,83.3,0.0,16.7,0.0,0.0,2347.0
54,85.0,0.0,15.0,0.0,0.0,2331.0
55,85.52,0.0,14.48,0.0,0.0,2330.0
56,86.77,0.0,13.23,0.0,0.0,2320.0
57,83.3,0.0,16.7,0.0,0.0,2354.0
58,83.2,0.0,16.8,0.0,0.0,2355.0
59,83.76,0.0,16.24,0.0,0.0,2353.0
60,87.5,0.0,12.5,0.0,0.0,2308.0
61,85.0,0.0,15.0,0.0,0.0,2332.0
62,82.5,0.0,17.5,0.0,0.0,2355.0
63,85.0,0.0,15.0,0.0,0.0,2350.0
64,85.15,0.0,14.85,0.0,0.0,2332.0
65,82.94,0.0,17.06,0.0,0.0,2358.0
66,84.0,0.0,16.0,0.0,0.0,2330.0
67,86.0,0.0,14.0,0.0,0.0,2320.0
68,87.0,0.0,13.0,0.0,0.0,2315.0
69,84.0,0.0,16.0,0.0,0.0,2345.0
70,83.0,0.0,17.0,0.0,0.0,2355.0
71,85.0,0.0,15.0,0.0,0.0,2335.0
72,85.0,0.0,15.0,0.0,0.0,2310.0
73,85.0,0.0,15.0,0.0,0.0,2320.0
74,84.0,1.0,12.0,3.0,0.0,2330.0
75,86.4,0.0,11.6,2.0,0.0,2327.0
76,84.0,0.0,15.0,1.0,0.0,2350.0
