Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,*,AND,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,96,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Poisson Ratio,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,10000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Poisson Ratio
1, GB02-004791, Handbook of Glass Properties, 1986, v. 001  p. 0313, 65.68, , , , , , 34.32, , , 0.26
2, GB02-004793, Handbook of Glass Properties, 1986, v. 001  p. 0313, 71.84, , , , , , 28.16, , , 0.242
3, GB02-004795, Handbook of Glass Properties, 1986, v. 001  p. 0313, 78.33, , , , , , 21.67, , , 0.218
4, GJ05-005433, J. American Ceramic Soc., 1980, v. 063  p. 0072, 58.13, 34.92, , , , 1.73, 5.22, , , 0.2
5, GJ05-005434, J. American Ceramic Soc., 1980, v. 063  p. 0072, 92.37, 7.45, , , , 0.02, 0.15, , , 0.18
6, GB02-006460, Handbook of Glass Properties, 1986, v. 001  p. 0325, 55.0, , , , , , 14.78, , , 0.25
7, GB02-006462, Handbook of Glass Properties, 1986, v. 001  p. 0325, 61.84, , , , , , 16.62, , , 0.235
8, GB02-006464, Handbook of Glass Properties, 1986, v. 001  p. 0325, 51.95, , , , , , 13.96, , , 0.239
9, GB02-006466, Handbook of Glass Properties, 1986, v. 001  p. 0325, 66.28, , , , 15.91, , 17.81, , , 0.235
10, GB02-006467, Handbook of Glass Properties, 1986, v. 001  p. 0325, 69.38, , , 11.97, , , 18.65, , , 0.222
11, GB02-006469, Handbook of Glass Properties, 1986, v. 001  p. 0325, 72.69, , , , , , 19.53, , , 0.232
12, GB02-006470, Handbook of Glass Properties, 1986, v. 001  p. 0326, 53.63, , , , , , 34.28, , , 0.277
13, GB02-006471, Handbook of Glass Properties, 1986, v. 001  p. 0326, 46.63, , , , , , 29.84, , , 0.281
14, GB02-006472, Handbook of Glass Properties, 1986, v. 001  p. 0326, 60.05, , , , , , 29.69, , , 0.265
15, GB02-006473, Handbook of Glass Properties, 1986, v. 001  p. 0326, 56.75, , , , , , 28.0, , , 0.262
16, GB02-006474, Handbook of Glass Properties, 1986, v. 001  p. 0326, 39.86, , , , , , 25.45, , , 0.285
17, GB02-006475, Handbook of Glass Properties, 1986, v. 001  p. 0326, 53.33, , , , , , 26.33, , , 0.265
18, GB02-006476, Handbook of Glass Properties, 1986, v. 001  p. 0326, 49.93, , , , , , 24.7, , , 0.277
19, GB02-006477, Handbook of Glass Properties, 1986, v. 001  p. 0326, 46.53, , , , , , 23.0, , , 0.281
20, GB02-006478, Handbook of Glass Properties, 1986, v. 001  p. 0326, 66.86, , , , , , 24.69, , , 0.254
21, GB02-006479, Handbook of Glass Properties, 1986, v. 001  p. 0326, 43.17, , , , , , 21.34, , , 0.277
22, GB02-006480, Handbook of Glass Properties, 1986, v. 001  p. 0326, 40.53, , , , , , 20.06, , , 0.281
23, GB02-006481, Handbook of Glass Properties, 1986, v. 001  p. 0326, 60.46, , , , , , 22.3, , , 0.254
24, GB02-006482, Handbook of Glass Properties, 1986, v. 001  p. 0326, 53.78, , , , , , 19.86, , , 0.262
25, GB02-006483, Handbook of Glass Properties, 1986, v. 001  p. 0326, 72.26, , , , , , 20.63, , , 0.235
26, GB02-006484, Handbook of Glass Properties, 1986, v. 001  p. 0326, 73.03, , , , , , 20.0, , , 0.228
27, GB02-006485, Handbook of Glass Properties, 1986, v. 001  p. 0326, 46.9, , , , , , 17.27, , , 0.277
28, GB02-006486, Handbook of Glass Properties, 1986, v. 001  p. 0326, 67.22, , , , , , 18.47, , , 0.228
29, GB02-006487, Handbook of Glass Properties, 1986, v. 001  p. 0326, 43.76, , , , , , 16.24, , , 0.279
30, GB02-006488, Handbook of Glass Properties, 1986, v. 001  p. 0326, 60.98, , , , , , 16.7, , , 0.247
31, GB02-006489, Handbook of Glass Properties, 1986, v. 001  p. 0326, 49.38, , , , , , 13.59, , , 0.27
32, GB02-006490, Handbook of Glass Properties, 1986, v. 001  p. 0326, 73.37, , , , , , 15.18, , , 0.221
33, GB02-006491, Handbook of Glass Properties, 1986, v. 001  p. 0326, 59.92, , , , , , 13.02, , , 0.249
34, GB02-006492, Handbook of Glass Properties, 1986, v. 001  p. 0326, 77.91, , , , , , 12.47, , , 0.209
35, GB02-006493, Handbook of Glass Properties, 1986, v. 001  p. 0326, 68.24, , , , , , 10.4, , , 0.225
36, GB02-006494, Handbook of Glass Properties, 1986, v. 001  p. 0326, 76.55, , , , , , 7.67, , , 0.204
37, GB02-006496, Handbook of Glass Properties, 1986, v. 001  p. 0326, 39.39, , , , , , 5.97, , , 0.2
38, GB02-006497, Handbook of Glass Properties, 1986, v. 001  p. 0326, 37.16, , , , , , 4.62, , , 0.213
39, GB02-006498, Handbook of Glass Properties, 1986, v. 001  p. 0326, 34.19, , , , , , 3.15, , , 0.228
40, GB02-006499, Handbook of Glass Properties, 1986, v. 001  p. 0326, 31.05, , , , , , 2.29, , , 0.23
41, GJ02-008384, Glass Science and Technology, 1979, v. 052  p. 0001, 71.61, , , 3.81, 10.13, 14.04, , , 0.4, 0.22
42, GJ02-015655, J. American Ceramic Soc., 1987, v. 070  p. 0086, 70.63, , 4.7, 2.65, 5.17, 15.92, 0.93, , , 0.25
43, GB02-019713, Handbook of Glass Data, 1987, v. 00C  p. 0204, 72.69, , , , , , 19.53, , , 0.232
44, GB02-019714, Handbook of Glass Data, 1987, v. 00C  p. 0204, 69.38, , , 11.97, , , 18.65, , , 0.222
45, GB02-019715, Handbook of Glass Data, 1987, v. 00C  p. 0204, 66.28, , , , 15.91, , 17.81, , , 0.235
46, GB02-019716, Handbook of Glass Data, 1987, v. 00C  p. 0204, 58.4, , , , , , 15.69, , , 0.235
47, GB02-019717, Handbook of Glass Data, 1987, v. 00C  p. 0204, 51.95, , , , , , 13.96, , , 0.239
48, GB02-019718, Handbook of Glass Data, 1987, v. 00C  p. 0204, 61.84, , , , , , 16.62, , , 0.235
49, GB02-019719, Handbook of Glass Data, 1987, v. 00C  p. 0204, 55.0, , , , , , 14.78, , , 0.25
50, GB02-019741, Handbook of Glass Data, 1987, v. 00C  p. 0209, 73.03, , , , , , 20.0, , , 0.228
51, GB02-019742, Handbook of Glass Data, 1987, v. 00C  p. 0209, 67.22, , , , , , 18.47, , , 0.228
52, GB02-019743, Handbook of Glass Data, 1987, v. 00C  p. 0209, 60.98, , , , , , 16.7, , , 0.247
53, GB02-019744, Handbook of Glass Data, 1987, v. 00C  p. 0209, 49.38, , , , , , 13.59, , , 0.27
54, GB02-019745, Handbook of Glass Data, 1987, v. 00C  p. 0209, 66.86, , , , , , 24.69, , , 0.254
55, GB02-019746, Handbook of Glass Data, 1987, v. 00C  p. 0209, 60.46, , , , , , 22.3, , , 0.254
56, GB02-019747, Handbook of Glass Data, 1987, v. 00C  p. 0209, 53.78, , , , , , 19.86, , , 0.262
57, GB02-019748, Handbook of Glass Data, 1987, v. 00C  p. 0209, 46.9, , , , , , 17.27, , , 0.277
58, GB02-019749, Handbook of Glass Data, 1987, v. 00C  p. 0209, 43.76, , , , , , 16.24, , , 0.279
59, GB02-019750, Handbook of Glass Data, 1987, v. 00C  p. 0209, 60.05, , , , , , 29.69, , , 0.265
60, GB02-019751, Handbook of Glass Data, 1987, v. 00C  p. 0209, 56.75, , , , , , 28.0, , , 0.262
61, GB02-019752, Handbook of Glass Data, 1987, v. 00C  p. 0209, 53.33, , , , , , 26.33, , , 0.265
62, GB02-019753, Handbook of Glass Data, 1987, v. 00C  p. 0209, 49.93, , , , , , 24.7, , , 0.277
63, GB02-019754, Handbook of Glass Data, 1987, v. 00C  p. 0209, 46.53, , , , , , 23.0, , , 0.281
64, GB02-019755, Handbook of Glass Data, 1987, v. 00C  p. 0209, 43.17, , , , , , 21.34, , , 0.277
65, GB02-019756, Handbook of Glass Data, 1987, v. 00C  p. 0209, 40.53, , , , , , 20.06, , , 0.281
66, GB02-019757, Handbook of Glass Data, 1987, v. 00C  p. 0209, 53.63, , , , , , 34.28, , , 0.277
67, GB02-019758, Handbook of Glass Data, 1987, v. 00C  p. 0209, 46.63, , , , , , 29.84, , , 0.281
68, GB02-019759, Handbook of Glass Data, 1987, v. 00C  p. 0209, 39.86, , , , , , 25.45, , , 0.285
69, GB02-019760, Handbook of Glass Data, 1987, v. 00C  p. 0210, 72.26, , , , , , 20.63, , , 0.235
70, GB02-019761, Handbook of Glass Data, 1987, v. 00C  p. 0210, 73.37, , , , , , 15.18, , , 0.221
71, GB02-019762, Handbook of Glass Data, 1987, v. 00C  p. 0210, 77.91, , , , , , 12.47, , , 0.209
72, GB02-019763, Handbook of Glass Data, 1987, v. 00C  p. 0210, 59.92, , , , , , 13.02, , , 0.249
73, GB02-019764, Handbook of Glass Data, 1987, v. 00C  p. 0210, 68.24, , , , , , 10.4, , , 0.225
74, GB02-019765, Handbook of Glass Data, 1987, v. 00C  p. 0210, 76.55, , , , , , 7.67, , , 0.204
75, GB02-025631, Handbook of Glass Data, 1987, v. 00C  p. 0434, 72.91, 4.22, , , , , 22.86, , , 0.225
76, GB02-025632, Handbook of Glass Data, 1987, v. 00C  p. 0434, 68.87, 8.4, , , , , 22.73, , , 0.207
77, GB02-025633, Handbook of Glass Data, 1987, v. 00C  p. 0434, 64.87, 12.53, , , , , 22.6, , , 0.22
78, GB02-025634, Handbook of Glass Data, 1987, v. 00C  p. 0434, 60.92, 16.61, , , , , 22.47, , , 0.217
79, GB05-025635, Handbook of Glass Data, 1987, v. 00C  p. 0434, 57.01, 20.64, , , , , 22.34, , , 0.224
80, GB05-025636, Handbook of Glass Data, 1987, v. 00C  p. 0434, 45.55, 32.48, , , , , 21.97, , , 0.261
81, GJ05-026105, Glass Science and Technology, 1986, v. 059  p. 0077, 80.68, 12.81, 2.3, , , 3.6, 0.6, , , 0.2
82, GJ02-026106, Glass Science and Technology, 1986, v. 059  p. 0077, 72.64, , 0.61, 3.59, 8.73, 13.75, 0.27, 0.17, , 0.22
83, GB10-028052, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 98.38, , , , , 1.62, , , 0.293
84, GB10-028053, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 96.65, , , , , 3.35, , , 0.292
85, GB10-028054, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 94.66, , , , , 5.34, , , 0.292
86, GB10-028055, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 92.05, , , , , 7.95, , , 0.295
87, GB10-028056, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 88.83, , , , , 11.16, , , 0.292
88, GB10-028057, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 85.67, , , , , 14.33, , , 0.292
89, GB10-028058, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 83.18, , , , , 16.82, , , 0.295
90, GB10-028059, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 80.11, , , , , 19.88, , , 0.3
91, GB10-028060, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 77.1, , , , , 22.9, , , 0.3
92, GB10-028061, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 76.38, , , , , 23.62, , , 0.3
93, GB10-028062, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 74.13, , , , , 25.86, , , 0.3
94, GB10-028063, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 71.45, , , , , 28.55, , , 0.295
95, GB10-028064, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 68.0, , , , , 31.99, , , 0.293
96, GB10-028065, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 65.3, , , , , 34.7, , , 0.287
97, GB10-028066, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 62.41, , , , , 37.59, , , 0.293
98, GB10-028067, Handbook of Glass Data, 1985, v. 00B  p. 0139, , 59.47, , , , , 40.53, , , 0.302
99, GJ05-037005, J. American Ceramic Soc., 1982, v. 065  p. 0087, 52.91, 18.68, , , 3.14, 6.89, 5.71, , , 0.22
100, GI40-039331, Proc. ICG, 1986, v. 001  p. 0082, , , , , , , 6.8, , , 0.247
101, GI40-039332, Proc. ICG, 1986, v. 001  p. 0082, , , , , , , 14.1, , , 0.254
102, GI40-039333, Proc. ICG, 1986, v. 001  p. 0082, , , , , , , 21.97, , , 0.287
103, GI40-039334, Proc. ICG, 1986, v. 001  p. 0082, , , , , , , 30.47, , , 0.3
104, GJ05-043467, Verres et Refractaires, 1981, v. 035  p. 0838, 80.6, 12.6, , 0.08, 0.16, 3.6, 0.76, , , 0.22
105, GJ05-043468, Verres et Refractaires, 1981, v. 035  p. 0838, 67.6, 19.0, , , , 0.5, 8.4, , , 0.17
106, GJ02-043469, Verres et Refractaires, 1981, v. 035  p. 0838, 72.49, , , 3.9, 8.4, 13.8, 0.42, , , 0.22
107, GC04-044637, Schott AG (DE), 1981, SF53-728287, *, , , , , *, *, , , 0.238
108, GC04-044638, Schott AG (DE), 1981, SF54-741281, *, , , , , *, *, , , 0.237
109, GC04-044639, Schott AG (DE), 1981, SF55-762270, *, , , , , *, *, , , 0.247
110, GC04-044640, Schott AG (DE), 1981, SF56-785261, *, , , , , *, *, , , 0.242
111, GC04-044641, Schott AG (DE), 1981, SF57-847238, *, , , , , *, *, , , 0.253
112, GC04-044642, Schott AG (DE), 1981, SF58-918215, *, , , , , *, *, , , 0.264
113, GC04-044643, Schott AG (DE), 1981, SF59-953204, *, , , , , *, *, , , 0.269
114, GC04-044644, Schott AG (DE), 1981, SF61-751275, *, , , , , *, *, , , 0.235
115, GC04-044645, Schott AG (DE), 1981, SF62-681319, *, , , , , *, *, , , 0.226
116, GC04-044646, Schott AG (DE), 1981, SF63-748277, *, , , , , *, *, , , 0.235
117, GC04-044647, Schott AG (DE), 1981, SFN64-706303, *, , , , , *, *, , , 0.25
118, GC02-044648, Schott AG (DE), 1981, TiK1-479587, *, , *, , *, *, *, , , 0.254
119, GC04-044655, Schott AG (DE), 1981, TiSF1-673289, *, , , , , *, *, , , 0.239
120, GC05-044656, Schott AG (DE), 1981, KzF1-551497, *, *, *, , , , *, , , 0.225
121, GC05-044657, Schott AG (DE), 1981, KzF2-529517, *, *, *, , , , *, , , 0.221
122, GC05-044658, Schott AG (DE), 1981, KzF6-527511, *, *, *, , , , *, , , 0.212
123, GC05-044668, Schott AG (DE), 1981, KzFn1-551496, *, *, *, , , , *, , , 0.224
124, GC05-044669, Schott AG (DE), 1981, KzFn2-529516, *, *, *, , , , *, , , 0.221
