SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Poisson Ratio
 65.68, , , , , 34.32, , 0.26
 71.84, , , , , 28.16, , 0.242
 78.33, , , , , 21.67, , 0.218
 58.13, , , , 1.73, 5.22, , 0.2
 92.37, , , , 0.02, 0.15, , 0.18
 55.0, , , , , 14.78, , 0.25
 61.84, , , , , 16.62, , 0.235
 51.95, , , , , 13.96, , 0.239
 66.28, , , 15.91, , 17.81, , 0.235
 69.38, , 11.97, , , 18.65, , 0.222
 72.69, , , , , 19.53, , 0.232
 53.63, , , , , 34.28, , 0.277
 46.63, , , , , 29.84, , 0.281
 60.05, , , , , 29.69, , 0.265
 56.75, , , , , 28.0, , 0.262
 39.86, , , , , 25.45, , 0.285
 53.33, , , , , 26.33, , 0.265
 49.93, , , , , 24.7, , 0.277
 46.53, , , , , 23.0, , 0.281
 66.86, , , , , 24.69, , 0.254
 43.17, , , , , 21.34, , 0.277
 40.53, , , , , 20.06, , 0.281
 60.46, , , , , 22.3, , 0.254
 53.78, , , , , 19.86, , 0.262
 72.26, , , , , 20.63, , 0.235
 73.03, , , , , 20.0, , 0.228
 46.9, , , , , 17.27, , 0.277
 67.22, , , , , 18.47, , 0.228
 43.76, , , , , 16.24, , 0.279
 60.98, , , , , 16.7, , 0.247
 49.38, , , , , 13.59, , 0.27
 73.37, , , , , 15.18, , 0.221
 59.92, , , , , 13.02, , 0.249
 77.91, , , , , 12.47, , 0.209
 68.24, , , , , 10.4, , 0.225
 76.55, , , , , 7.67, , 0.204
 39.39, , , , , 5.97, , 0.2
 37.16, , , , , 4.62, , 0.213
 34.19, , , , , 3.15, , 0.228
 31.05, , , , , 2.29, , 0.23
 71.61, , 3.81, 10.13, 14.04, , , 0.22
 70.63, 4.7, 2.65, 5.17, 15.92, 0.93, , 0.25
 72.69, , , , , 19.53, , 0.232
 69.38, , 11.97, , , 18.65, , 0.222
 66.28, , , 15.91, , 17.81, , 0.235
 58.4, , , , , 15.69, , 0.235
 51.95, , , , , 13.96, , 0.239
 61.84, , , , , 16.62, , 0.235
 55.0, , , , , 14.78, , 0.25
 73.03, , , , , 20.0, , 0.228
 67.22, , , , , 18.47, , 0.228
 60.98, , , , , 16.7, , 0.247
 49.38, , , , , 13.59, , 0.27
 66.86, , , , , 24.69, , 0.254
 60.46, , , , , 22.3, , 0.254
 53.78, , , , , 19.86, , 0.262
 46.9, , , , , 17.27, , 0.277
 43.76, , , , , 16.24, , 0.279
 60.05, , , , , 29.69, , 0.265
 56.75, , , , , 28.0, , 0.262
 53.33, , , , , 26.33, , 0.265
 49.93, , , , , 24.7, , 0.277
 46.53, , , , , 23.0, , 0.281
 43.17, , , , , 21.34, , 0.277
 40.53, , , , , 20.06, , 0.281
 53.63, , , , , 34.28, , 0.277
 46.63, , , , , 29.84, , 0.281
 39.86, , , , , 25.45, , 0.285
 72.26, , , , , 20.63, , 0.235
 73.37, , , , , 15.18, , 0.221
 77.91, , , , , 12.47, , 0.209
 59.92, , , , , 13.02, , 0.249
 68.24, , , , , 10.4, , 0.225
 76.55, , , , , 7.67, , 0.204
 72.91, , , , , 22.86, , 0.225
 68.87, , , , , 22.73, , 0.207
 64.87, , , , , 22.6, , 0.22
 60.92, , , , , 22.47, , 0.217
