SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Poisson Ratio
65.68,0.0,0.0,0.0,0.0,34.32,0.0,0.26
71.84,0.0,0.0,0.0,0.0,28.16,0.0,0.242
78.33,0.0,0.0,0.0,0.0,21.67,0.0,0.218
66.28,0.0,0.0,15.91,0.0,17.81,0.0,0.235
69.38,0.0,11.97,0.0,0.0,18.65,0.0,0.222
71.61,0.0,3.81,10.13,14.04,0.0,0.0,0.22
70.63,4.7,2.65,5.17,15.92,0.93,0.0,0.25
72.91,0.0,0.0,0.0,0.0,22.86,0.0,0.225
72.64,0.61,3.59,8.73,13.75,0.27,0.17,0.22
72.49,0.0,3.9,8.4,13.8,0.42,0.0,0.22
71.0,3.0,5.0,7.0,13.0,1.0,0.0,0.22
73.0,1.0,4.0,5.0,17.0,0.0,0.0,0.22
61.0,17.0,4.0,0.0,13.0,3.0,0.0,0.22
72.0,2.0,3.0,9.0,14.0,0.0,0.0,0.25
78.33,0.0,0.0,0.0,0.0,21.67,0.0,0.167
65.68,0.0,0.0,0.0,0.0,34.32,0.0,0.168
56.43,0.0,0.0,0.0,0.0,43.57,0.0,0.17
58.0,20.0,2.0,3.0,13.0,4.0,0.0,0.22
71.84,0.0,0.0,0.0,0.0,28.16,0.0,0.25
78.33,0.0,0.0,0.0,0.0,21.67,0.0,0.225
81.02,0.0,0.0,0.0,0.0,18.98,0.0,0.23
78.33,0.0,0.0,0.0,0.0,21.67,0.0,0.617
96.3,0.4,0.0,0.0,0.2,0.2,0.0,0.18
72.97,0.1,3.89,8.93,13.7,0.03,0.25,0.215
76.09,0.0,0.0,0.0,0.0,23.91,0.0,0.236
73.37,0.0,0.0,0.0,0.0,26.63,0.0,0.244
70.09,0.0,0.0,0.0,0.0,29.91,0.0,0.254
63.42,0.0,0.0,0.0,0.0,36.58,0.0,0.275
61.31,0.0,0.0,0.0,0.0,38.69,0.0,0.281
58.45,0.0,0.0,0.0,0.0,41.55,0.0,0.29
85.16,0.0,0.0,0.0,0.0,14.83,0.0,0.188
82.39,0.0,0.0,0.0,0.0,17.61,0.0,0.201
77.84,0.0,0.0,0.0,16.06,6.1,0.0,0.222
71.32,0.0,0.0,0.0,23.08,5.59,0.0,0.24
68.35,0.0,0.0,0.0,14.1,17.55,0.0,0.282
79.63,0.0,0.0,0.0,14.75,5.61,0.0,0.228
74.0,0.0,3.91,7.5,14.39,0.15,0.0,0.21
72.5,1.2,4.31,6.42,14.36,1.2,0.0,0.21
71.8,0.6,4.0,9.4,14.0,0.0,0.0,0.0
73.65,0.34,3.02,9.17,13.82,0.0,0.0,0.23
68.26,0.0,0.0,8.61,0.0,23.14,0.0,0.232
71.59,2.08,2.8,6.27,15.39,0.59,0.58,0.24
78.33,0.0,0.0,0.0,0.0,21.67,0.0,0.22
71.84,0.0,0.0,0.0,0.0,28.16,0.0,0.24
76.09,0.0,0.0,0.0,0.0,23.91,0.0,0.235
82.25,0.0,0.0,0.0,0.0,17.75,0.0,0.23
77.27,0.0,0.0,0.0,0.0,22.73,0.0,0.225
72.35,0.0,0.0,0.0,0.0,27.65,0.0,0.25
64.01,0.0,0.0,0.0,0.0,35.99,0.0,0.27
70.09,0.0,0.0,0.0,0.0,29.91,0.0,0.245
56.43,0.0,0.0,0.0,0.0,43.57,0.0,0.295
75.63,1.0,0.0,12.04,11.03,0.3,0.0,0.215
38.79,24.07,14.22,0.0,9.82,13.1,0.0,0.25
34.76,22.37,0.0,20.48,9.23,13.16,0.0,0.26
33.72,21.31,0.0,11.67,13.08,19.56,0.0,0.26
48.18,16.25,11.53,0.0,9.64,14.4,0.0,0.25
45.83,22.75,8.08,0.0,9.28,14.06,0.0,0.24
43.32,21.62,0.0,12.05,8.96,13.48,0.0,0.25
54.92,15.26,5.57,0.0,9.6,14.65,0.0,0.24
53.35,14.9,0.0,8.31,9.0,13.92,0.0,0.24
52.18,21.73,0.0,3.89,8.81,13.39,0.0,0.23
58.26,7.24,9.55,0.0,14.08,8.01,0.0,0.24
58.38,6.9,0.0,10.14,14.42,7.26,0.0,0.24
54.28,21.9,0.0,0.009952,0.0,23.61,0.0,0.23
48.21,19.99,0.0,0.0,0.0,31.8,0.0,0.25
50.49,22.02,0.1,17.61,9.38,0.0,0.0,0.25
55.75,23.11,9.03,0.0,4.7,7.11,0.0,0.23
53.07,22.22,0.07,12.69,4.67,6.96,0.0,0.24
51.96,23.4,12.28,0.0,5.0,7.36,0.0,0.25
49.39,21.85,0.0,17.02,4.71,7.03,0.0,0.25
61.17,8.02,0.14,17.87,5.52,7.28,0.0,0.25
61.76,8.09,3.07,13.11,6.06,7.91,0.0,0.24
63.17,8.07,6.13,9.16,5.82,7.65,0.0,0.24
62.69,8.42,9.98,4.96,6.29,7.66,0.0,0.24
66.84,8.28,11.79,0.0,5.77,7.32,0.0,0.23
56.69,11.44,1.62,22.17,4.91,0.0,0.0,0.25
55.79,11.35,1.74,21.4,2.57,3.79,0.0,0.25
60.49,13.08,2.72,23.05,0.05,0.0,0.0,0.25
64.67,14.48,15.51,4.85,0.09,0.0,0.0,0.24
60.88,12.43,2.74,13.3,10.04,0.0,0.0,0.24
57.48,10.98,2.71,13.04,0.1,15.18,0.0,0.23
60.49,11.52,2.86,12.61,5.07,7.45,0.0,0.24
52.41,25.5,0.0,0.0,8.78,12.93,0.0,0.21
45.13,15.21,4.43,0.0,14.06,21.17,0.0,0.26
43.27,14.77,0.0,8.02,13.54,20.4,0.0,0.26
42.37,21.21,2.43,0.0,13.88,20.11,0.0,0.25
41.98,21.6,0.0,3.78,13.09,19.55,0.0,0.26
41.46,21.46,0.0,0.0,12.9,19.25,0.0,0.25
51.55,15.0,0.0,0.0,13.3,20.15,0.0,0.25
62.03,15.01,0.0,0.0,9.35,13.61,0.0,0.23
64.28,4.72,0.0,12.99,0.03,14.26,0.0,0.24
