Search Condition
State,Glass
Composition
,Component Unit,mass%
,Numerical
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,Total of Main Components >=,90,%
Commercial Glass,null
Glass System,Alkali Silicate
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
Numerical
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, K2O, SO3, Fracture Toughness ( MPa.m1/2 ), Fracture Toughness (Predictive Value), Fracture Toughness (Residual)
1, GJ02-003208, J. Ceramic Soc. Japan, 1988, v. 096  p. 1012, 60.84, , , 5.08, 16.39, , , 0.52, , 
2, GJ02-003209, J. Ceramic Soc. Japan, 1988, v. 096  p. 1012, 21.42, , , 3.83, 5.15, , , 0.56, , 
3, GJ02-003211, J. Ceramic Soc. Japan, 1988, v. 096  p. 1012, 60.5, 1.44, , , 9.67, , , 0.7, , 
4, GI02-008300, Proc. ICG, 1983, v. 002  p. 1112, 79.5, , , , 20.5, , , 0.679, , 
5, GI02-008301, Proc. ICG, 1983, v. 002  p. 1112, 89.72, , , , 10.28, , , 0.834, 1.0025168583245134, -0.16851685832451346
6, GJ02-010146, J. American Ceramic Soc., 1980, v. 063  p. 0286, 79.5, , , , 20.5, , , 0.86, , 
7, GJ02-015710, J. American Ceramic Soc., 1987, v. 070  p. C002, , , , , , , , 0.77, , 
8, GJ02-032246, J. Canadian Ceramic Soc., 1987, v. 056  p. 0054, 58.14, 14.25, 0.37, 0.19, 14.48, 10.81, , 1.2, , 
9, GJ02-032657, J. American Ceramic Soc., 1969, v. 052  p. 0099, 72.0, 2.0, 4.0, 7.0, 14.0, 1.0, , 0.749, , 
10, GJ02-037026, J. American Ceramic Soc., 1978, v. 061  p. 0027, 59.25, , , , 40.74, , , 0.615, 0.8741735107059634, -0.2591735107059634
