SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
65.68,0.0,0.0,0.0,0.0,34.32,0.0,46.45
71.84,0.0,0.0,0.0,0.0,28.16,0.0,49.04
78.33,0.0,0.0,0.0,0.0,21.67,0.0,52.67
56.27,0.0,0.0,0.0,29.02,14.7,0.0,58.2
53.58,0.0,0.0,0.0,18.42,28.0,0.0,55.6
51.13,0.0,0.0,0.0,8.79,40.08,0.0,47.8
67.55,0.0,0.0,0.0,24.88,7.56,0.0,59.2
65.85,0.0,0.0,0.0,19.4,14.75,0.0,55.2
64.23,0.0,0.0,0.0,14.2,21.57,0.0,56.1
62.69,0.0,0.0,0.0,9.24,28.08,0.0,53.9
61.22,0.0,0.0,0.0,4.51,34.27,0.0,52.1
77.44,0.0,0.0,0.0,14.98,7.59,0.0,59.2
75.48,0.0,0.0,0.0,9.73,14.79,0.0,54.2
73.62,0.0,0.0,0.0,4.74,21.64,0.0,56.6
45.36,20.01,0.0,0.0,34.62,0.0,0.0,70.38
49.37,22.85,0.0,0.0,27.78,0.0,0.0,67.62
67.91,0.53,11.12,0.0,20.44,0.0,0.0,72.0
61.05,0.0,0.0,14.91,0.0,24.03,0.0,45.0
66.28,0.0,0.0,15.91,0.0,17.81,0.0,72.1
69.38,0.0,11.97,0.0,0.0,18.65,0.0,63.5
52.36,33.46,0.0,14.17,0.0,0.0,0.0,98.2
53.28,30.14,0.0,16.58,0.0,0.0,0.0,93.7
55.82,20.99,0.0,23.18,0.0,0.0,0.0,91.8
58.0,13.12,0.0,28.87,0.0,0.0,0.0,93.1
47.18,29.49,23.32,0.0,0.0,0.0,0.0,109.7
48.42,25.94,25.64,0.0,0.0,0.0,0.0,111.0
49.71,22.2,28.08,0.0,0.0,0.0,0.0,109.9
48.05,32.61,19.34,0.0,0.0,0.0,0.0,108.1
49.26,29.26,21.48,0.0,0.0,0.0,0.0,109.2
50.54,25.73,23.73,0.0,0.0,0.0,0.0,109.4
51.88,22.01,26.1,0.0,0.0,0.0,0.0,108.9
53.3,18.09,28.61,0.0,0.0,0.0,0.0,107.4
52.03,32.1,15.86,0.0,0.0,0.0,0.0,104.1
53.32,28.79,17.88,0.0,0.0,0.0,0.0,103.9
54.68,25.3,20.01,0.0,0.0,0.0,0.0,106.8
56.11,21.64,22.24,0.0,0.0,0.0,0.0,106.4
57.62,17.78,24.6,0.0,0.0,0.0,0.0,104.4
51.59,32.97,0.0,0.0,15.43,0.0,0.0,78.0
52.37,29.62,0.0,0.0,18.01,0.0,0.0,73.9
53.62,24.26,0.0,0.0,22.12,0.0,0.0,73.0
56.29,12.74,0.0,0.0,30.97,0.0,0.0,69.2
47.72,34.7,0.0,0.0,17.58,0.0,0.0,77.5
52.37,29.62,0.0,0.0,18.01,0.0,0.0,73.2
65.06,15.77,0.0,0.0,19.17,0.0,0.0,69.8
72.04,8.15,0.0,0.0,19.81,0.0,0.0,65.0
60.29,8.12,0.0,0.0,31.59,0.0,0.0,63.9
62.24,8.12,0.0,0.0,29.63,0.0,0.0,63.4
58.51,22.91,0.0,0.0,18.57,0.0,0.0,71.3
57.65,26.34,0.0,0.0,16.01,0.0,0.0,71.2
36.98,41.83,0.0,0.0,21.19,0.0,0.0,78.5
42.3,35.89,0.0,0.0,21.81,0.0,0.0,73.9
47.94,29.58,0.0,0.0,22.48,0.0,0.0,70.9
53.94,22.88,0.0,0.0,23.18,0.0,0.0,68.4
60.32,15.75,0.0,0.0,23.93,0.0,0.0,67.0
67.13,8.14,0.0,0.0,24.73,0.0,0.0,63.5
50.89,35.98,0.0,0.0,13.12,0.0,0.0,77.3
56.81,29.66,0.0,0.0,13.52,0.0,0.0,73.7
63.11,22.94,0.0,0.0,13.95,0.0,0.0,71.9
69.81,15.79,0.0,0.0,14.4,0.0,0.0,70.9
76.95,8.16,0.0,0.0,14.88,0.0,0.0,65.3
59.1,19.28,0.0,0.0,16.88,0.0,0.0,74.9
55.6,15.72,0.0,0.0,28.67,0.0,0.0,72.3
71.61,0.0,3.81,10.13,14.04,0.0,0.0,64.0
58.33,25.0,15.0,0.0,0.0,0.0,0.0,97.23
56.66,25.0,15.0,0.0,0.0,0.0,0.0,97.98
