Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,,OR,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,95,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Young's Modulus at RT,,,,Common,,
OR,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Young's Modulus at RT ( GPa )
1, GJ02-003211, J. Ceramic Soc. Japan, 1988, v. 096  p. 1012, 60.5, , 1.44, , , 9.67, , , , 81.97
2, GJ20-003944, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 7.77, 20.4, , , , , , 61.29
3, GJ20-003945, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 5.89, 24.44, , , , , , 68.48
4, GJ20-003946, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 5.72, 22.61, , , , , , 64.83
5, GJ20-003947, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 5.56, 20.89, , , , , , 61.47
6, GJ20-003948, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 5.41, 19.25, , , , , , 59.1
7, GJ20-003949, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 2.79, 21.5, , , , , , 58.5
8, GJ20-003950, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 7.19, , 26.28, , , , , 64.46
9, GJ20-003951, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 5.25, , 28.9, , , , , 65.34
10, GJ20-003952, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 5.14, , 26.86, , , , , 62.24
11, GJ20-003953, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 5.03, , 24.91, , , , , 61.27
12, GJ20-003954, J. Ceramic Soc. Japan, 1984, v. 092  p. 0431, , , 2.57, , 27.59, , , , , 59.74
13, GB02-004791, Handbook of Glass Properties, 1986, v. 001  p. 0313, 65.68, , , , , , 34.32, , , 46.45
14, GB02-004793, Handbook of Glass Properties, 1986, v. 001  p. 0313, 71.84, , , , , , 28.16, , , 49.04
15, GB02-004795, Handbook of Glass Properties, 1986, v. 001  p. 0313, 78.33, , , , , , 21.67, , , 52.67
16, GB02-004862, Handbook of Glass Properties, 1986, v. 001  p. 0318, 56.27, , , , , 29.02, 14.7, , , 58.2
17, GB02-004863, Handbook of Glass Properties, 1986, v. 001  p. 0318, 53.58, , , , , 18.42, 28.0, , , 55.6
18, GB02-004864, Handbook of Glass Properties, 1986, v. 001  p. 0318, 51.13, , , , , 8.79, 40.08, , , 47.8
19, GB02-004865, Handbook of Glass Properties, 1986, v. 001  p. 0318, 67.55, , , , , 24.88, 7.56, , , 59.2
20, GB02-004866, Handbook of Glass Properties, 1986, v. 001  p. 0318, 65.85, , , , , 19.4, 14.75, , , 55.2
21, GB02-004867, Handbook of Glass Properties, 1986, v. 001  p. 0318, 64.23, , , , , 14.2, 21.57, , , 56.1
22, GB02-004868, Handbook of Glass Properties, 1986, v. 001  p. 0318, 62.69, , , , , 9.24, 28.08, , , 53.9
23, GB02-004869, Handbook of Glass Properties, 1986, v. 001  p. 0318, 61.22, , , , , 4.51, 34.27, , , 52.1
