SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
 60.5, 1.44, , , 9.67, , , 81.97
 , 7.77, 20.4, , , , , 61.29
 , 5.89, 24.44, , , , , 68.48
 , 5.72, 22.61, , , , , 64.83
 , 5.56, 20.89, , , , , 61.47
 , 5.41, 19.25, , , , , 59.1
 , 2.79, 21.5, , , , , 58.5
 , 7.19, , 26.28, , , , 64.46
 , 5.25, , 28.9, , , , 65.34
 , 5.14, , 26.86, , , , 62.24
 , 5.03, , 24.91, , , , 61.27
 , 2.57, , 27.59, , , , 59.74
 65.68, , , , , 34.32, , 46.45
 71.84, , , , , 28.16, , 49.04
 78.33, , , , , 21.67, , 52.67
 56.27, , , , 29.02, 14.7, , 58.2
 53.58, , , , 18.42, 28.0, , 55.6
 51.13, , , , 8.79, 40.08, , 47.8
 67.55, , , , 24.88, 7.56, , 59.2
 65.85, , , , 19.4, 14.75, , 55.2
 64.23, , , , 14.2, 21.57, , 56.1
 62.69, , , , 9.24, 28.08, , 53.9
 61.22, , , , 4.51, 34.27, , 52.1
 77.44, , , , 14.98, 7.59, , 59.2
 75.48, , , , 9.73, 14.79, , 54.2
 73.62, , , , 4.74, 21.64, , 56.6
 45.36, 20.01, , , 34.62, , , 70.38
 49.37, 22.85, , , 27.78, , , 67.62
 58.13, , , , 1.73, 5.22, , 46.5
 92.37, , , , 0.02, 0.15, , 63.0
 *, *, *, *, *, , , 73.6
 31.02, 21.72, , , , , , 114.5
 35.04, 25.01, , , , , , 112.3
 29.77, 21.25, , , , , , 94.9
 23.88, 24.31, , , , , , 99.7
 28.08, 19.66, , , , , , 105.6
 25.95, 26.41, , , , , , 114.9
 22.85, 26.97, , , , , , 110.9
 25.01, 24.95, , , , , , 114.5
 23.13, 21.21, , , , , , 121.3
 21.24, 21.19, , , , , , 106.6
 19.2, 17.61, , , , , , 107.5
 18.23, 17.56, , , , , , 107.0
 16.79, 17.48, , , , , , 105.9
 16.36, 23.79, , , , , , 116.8
 14.89, 23.68, , , , , , 116.7
 13.91, 23.61, , , , , , 112.5
 59.45, 0.3, , , , , , 81.0
 67.01, 0.17, , , , , , 87.0
 58.88, 1.01, , , , , , 77.0
 60.2, 0.33, , , , , , 83.0
 76.53, 0.39, 12.72, , , , , 86.0
 62.18, 0.16, , , 16.44, , , 64.0
 59.96, 0.15, , , 15.04, , , 74.0
 67.91, 0.53, 11.12, , 20.44, , , 72.0
 51.05, 0.26, , , , 21.37, , 57.0
 55.0, , , , , 14.78, , 61.2
 56.57, 0.29, , , , 22.95, , 61.0
 61.84, , , , , 16.62, , 64.6
 51.43, 0.89, , , , 18.87, , 54.0
 51.95, , , , , 13.96, , 61.5
 61.05, , , 14.91, , 24.03, , 45.0
 66.28, , , 15.91, , 17.81, , 72.1
 69.38, , 11.97, , , 18.65, , 63.5
 67.49, 0.51, , , , 24.99, , 68.0
 72.69, , , , , 19.53, , 71.2
 53.63, , , , , 34.28, , 54.4
 46.63, , , , , 29.84, , 60.3
 60.05, , , , , 29.69, , 54.3
 56.75, , , , , 28.0, , 56.6
 39.86, , , , , 25.45, , 65.9
